,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0,0.04733272,0,0,0.256175232,1,0.101553159,0.052067744,0.142607576,1,0.417475728,0.297900027,0.42540922,0.761355598,0.47816972,0.127734375,0.585602411,0.184779747,0.256775399,0.095926387,0.703779779,0.941996612,0.014247021,1,0.148692559,0.012748614,0.035015936,0.026421174,0.012780996,0.036617724,0.343967926,1,2
1,0.116825505,0,0,0,0.322380758,0.863660259,0.031089402,0.004137222,0.228190511,0.860635697,0.077669903,0.035896976,0.343285769,0.584818952,0.474098381,0.19921875,0.414236068,0.312573237,0.322721507,0.012897952,1,1,0.004944793,0.999543862,0.148692559,0,0,0,0,0,0.300860674,1,2
2,0.225398136,0.208946001,0.153373847,0.122641405,0.466666393,0.740218771,0.180172878,0.142075429,0.383633689,0.860635697,0.097087379,0.052476891,0.174704177,0.698280654,0.382067876,0.129296875,0.413456224,0.314354221,0.467100526,0.166476629,0.720875789,0.700273443,0.047933312,0.445351418,0.089605092,0.364216838,0.227232224,0.243124692,0.367361033,0.097169619,0,1,2
3,0.227443876,0.216380926,0.371340426,0.122641405,0.34157619,0.737065397,0.187685753,0.148864864,0.273942626,0.870415648,0.155339806,0.100646146,0.174704177,0.849140281,0.369610792,0.25234375,0.434789631,0.289400639,0.341975981,0.182054154,0.594895116,0.66060737,0.174005909,0.389813896,0.1325717,0.474877966,0.263712038,0.418675972,0.478772828,0.342617109,0.14567737,1,2
4,0.222302576,0.176708297,0.093989983,0.177331816,0.609891538,0.744924578,0.168100408,0.131212333,0.508771607,0.811735941,0.330097087,0.260982231,0.731959947,1,0.885273296,1,0.541729235,0.197819721,0.610386555,0.142547505,0.888050732,0.383385792,0.348515016,0.127785548,0.1325717,0.435441497,0.442297293,0.758162999,0.434200091,0.957605264,0.738612697,1,2
5,0.377184787,0.232045991,0.093989983,0.177331816,0.762331228,0.579666374,0.199220943,0.175716358,0.694152262,0.596577017,0.504854369,0.462970026,1,0.987327785,0.807310181,0.25234375,0.532275202,0.220711893,0.762598438,0.164521938,0.953953191,0,0.128638983,0.126531851,0.009853065,0.305993414,1,0.746944994,0.314309763,1,1,1,2
6,0.458738214,0.093174842,0.749847162,0.12942797,0.29362824,0.494812262,0.047458467,0.048739476,0.289260758,0.537897311,0.233009709,0.229291932,0.378699603,0.785084822,0.953635342,0,1,0,0.293614669,0.033110335,0.905559343,0.061904187,0.045666372,0.311797569,0.015839768,0.302622933,0.883803639,0.508137617,0.311247017,0.633529852,0.614661578,1,2
7,0.381998638,0.034276797,0.933355438,0.12942797,0.063079822,0.570274168,0,0,0.061033468,0.645476773,0,0,0.190864592,0.549231278,0.792088233,0.01796875,0.657560072,0.14731938,0.06316466,0,0.769813792,0.279202734,0.125771907,0.239071066,0.000142033,0.263817889,0.632666076,0.533557138,0.269554907,0.697337857,0.759752792,1,2
8,0.363938292,0.028226869,0.933355438,0.109295438,0,0.589151364,0.004276573,0.002293962,0,0.633251834,0.019417476,0.019204882,0,0.162363768,1,0.0765625,0.49956465,0.249718991,0,0.007170957,0.682889638,0.354054438,0,0.444290505,0,0.206610454,0.489785375,0.226265614,0.211450248,0.229717385,0.299093106,1,2
9,1,0.556296903,0.297946655,0.368784259,0.593754687,0,0.332018197,0.378393995,0.728503126,0,0.67961165,0.814603338,0.179464885,0.12794426,0.450369155,0.472265625,0.420770102,0.295272704,0.592789388,0.314576744,0.549957544,0.938725867,0.983543728,0.067293809,0.769413437,1,0.171491068,0.909078489,1,0.779848855,0.134204279,0,2
10,0.681731107,0.685779544,0.297946655,0.912592893,0.868972759,0.281156083,0.364887712,0.365566297,0.896506068,0.349633252,1,1,0.200825554,0.396561307,0.341931759,0.9421875,0.26395328,0.436156254,0.868822316,0.333181716,0.691123708,0.973482817,0.688953373,0.271474255,0.770373238,0.780379106,0.080096883,0.763403805,0.783128122,0.712411506,0.210089289,0,2
11,0.535911951,0.631149057,0.646986123,0.845191862,1,0.337690626,0.671377204,0.640783992,1,0.672371638,0.844660194,0.746152293,0.485213514,0.91992828,0.403123386,0.115234375,0.152652606,0.649180444,1,0.646509696,0.389479884,0.959049364,0.939459644,0.271690423,1,0.738153831,0.089553115,0.842109793,0.743425673,0.890659322,0.351958402,0,2
12,0.586999449,1,1,1,0.51905178,0.133754107,1,1,0.607778595,0.564792176,0.766990291,0.709178408,0.183923474,0,0,0.00546875,0,1,0.518631838,1,0,0.834276647,1,0,1,0.953802791,0.18151658,1,0.960801716,0.992569346,0.269286039,0,2
