,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0,0.771329462,0,0.226713533,1,1,1,1,0.956109134,1,1,1,1,0.798378942,0.24189141,0.041710115,1,0,1,1,0.386194879,0.089064132,0.117014527,0,0,0.627930054,0.794691008,0.527705136,0.627959928,0.395561393,0.306902154,1,11
1,0.255367567,0.478332723,0,0.154639175,0.620496501,0.71923915,0.617200235,0.654270296,0.626453144,0.640776699,0.5,0.536646668,0.619062267,0.633067171,0.517167637,0.230448384,0.238934706,0.664227928,0.620327681,0.624888368,0.316558083,0.208928435,0.286320211,1.00E-04,0.211349363,0.686499721,0.690540214,0.570916062,0.68618705,0.422000352,0.275061311,1,11
2,0.416465165,0.032733002,0.265059332,0,0.097379264,0.552668465,0.127380329,0.104763022,0.070640569,0.519417476,0.159090909,0.159856224,0.186804195,0.228992024,0.025899964,0.02189781,0.058266641,0.909046873,0.097387586,0.150635945,0.111913029,0.43641263,0,1,0.211349363,0.041745043,0.441920483,0.06827485,0.042096632,0.074567225,0.823223467,1,11
3,0.586208412,0,0.577330732,0.065108514,0,0.385815211,0,0,0,0.378640777,0,0,0,0.002328025,0,0,0.966962717,0.016919468,0,0.020527683,0.132472464,0.624075006,0.141837907,1,0.069941378,0.016772926,0.29524224,0.086367432,0.016933594,0.112581384,1,1,11
4,0.696670477,0.253328047,0.624442438,0.106598985,0.064527718,0.279935748,0.15745111,0.243743157,0.10688019,0.27184466,0.181818182,0.256337495,0.108866388,0,0.51788048,0.125130344,0.51460326,0.371385397,0.064404759,0.182810492,0,1,0.191463874,0.981304527,0.517225422,0,0,0,0,0,0.765267036,1,11
5,0.85542513,0.178766763,1,0.138461538,0.313197898,0.134470897,0.013334343,0.107813233,0.45688019,0.165048544,0.090909091,0.170963732,0.321282676,0.572569069,0.454199834,0.122002086,0.278730724,0.618722942,0.313051071,0,0.809256297,0.156521507,1,0.202110167,0.111585786,0.790175007,0.764846226,1,0.788435428,1,0.817953011,0,11
6,0.888513933,0.362321644,0.554019968,0.176470588,0.530873417,0.103762575,0.147001953,0.298881589,0.737900356,0.097087379,0.090909091,0.190151884,0.351279691,0.720372796,0.187715338,0.091762252,0.113239313,0.829350025,0.530673494,0.128816567,0.98118311,0.131781064,0.68547463,0.202110167,0.03143,0.642906452,0.811553282,0.80600046,0.642924234,0.80204521,0.796630774,0,11
7,0.916264836,0.88510723,0.439850207,0.284436494,0.600838778,0.077377141,0.514311056,0.804864696,0.835231317,0.077669903,0.318181818,0.491216691,0.521306415,0.685720915,0.127836521,0.089676747,0,1,0.600484279,0.508617441,0.450656055,0.420961318,0.175165714,0.696051685,0.010946069,0.512559979,0.512247993,0.322727858,0.512358214,0.148202593,0.10829406,0,11
8,0.976434173,1,0.439850207,1,0.716288027,0.027436591,0.547022416,0.872986079,1,0.019417476,0.409090909,0.629992973,0.640045938,0.763247934,0.662468813,0.621480709,0.413039235,0.4585397,0.715971625,0.545063917,0.583349588,0,0.539541425,0.589509015,1,1,1,0.720784388,1,0.415514858,0,0,11
9,1,0.698507291,0.546285604,1,0.701194486,0,0.307708801,0.560104802,0.992467378,0,0.090909091,0.218312524,0.473015853,1,1,1,0.841096525,0.090762715,0.700937478,0.282693435,1,0.228360131,0.445817984,0.589509015,1,0.745330864,0.728803086,0.524462721,0.745104031,0.296989274,0.071076187,0,11
