,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0.0,0.0,0.183041591,0.0,0.486687714,1.0,0.126381778,0.0,0.347913943,1.0,0.5,0.39941313,0.461168079,1.0,1.0,0.441087613,1.0,0.0,0.486650659,0.07867942,1.0,0.522468059,0.095590113,0.757912767,1.0,0.108510015,0.393660527,0.049152121,0.107392162,0.018295907,0.569094394,1.0,4.0
1,0.812425523,0.119663063,0.457480646,1.0,0.0,0.180870567,0.0,0.006376594,0.0,0.178082192,0.0,0.0,0.0,0.0,0.429132313,1.0,0.201655187,0.700763185,0.0,0.0,0.397514636,0.448640597,0.128506452,0.074355554,0.162147619,0.695547545,0.536929518,0.52141322,0.695716147,0.37196701,0.0,1.0,4.0
2,0.688324109,0.406720585,0.814939917,0.398330295,0.26008974,0.301102165,0.296829654,0.312515629,0.267918697,0.287671233,0.4375,0.470315272,0.291050715,0.503029677,0.441794268,0.0,0.640661487,0.263325002,0.260081222,0.298792837,0.197500269,0.0,0.043260926,0.129732071,0.0,0.525428164,1.0,0.47472239,0.525907351,0.447555452,0.234619265,1.0,4.0
3,0.30301592,1.0,0.0,0.876441029,1.0,0.68967253,1.0,1.0,1.0,0.726027397,1.0,1.0,1.0,0.894096207,0.160090302,0.426988922,0.248608439,0.648931008,1.0,1.0,0.0,0.590628312,1.0,0.053010782,0.743675361,1.0,0.41349678,1.0,1.0,1.0,0.147469234,0.0,4.0
4,0.740267246,0.208257878,1.0,0.724301348,0.108910676,0.250881086,0.097553364,0.101775444,0.107809343,0.260273973,0.25,0.265593012,0.210842805,0.455211586,0.0,0.526686808,0.0,1.0,0.10891837,0.097000997,0.366896527,0.884859976,0.723257048,0.0,0.318508053,0.798281024,0.124838215,0.805827064,0.797956106,0.820251821,0.211518048,0.0,4.0
5,1.0,0.242104831,0.724020027,0.427479815,0.059936957,0.0,0.082120691,0.131095274,0.113039344,0.0,0.125,0.174082162,0.276506374,0.144251876,0.477915194,0.825780463,0.407349205,0.464192644,0.059887964,0.083702107,0.31735086,1.0,0.0,1.0,0.266744388,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
6,0.510227224,0.403770876,0.785054671,0.095144048,0.3499183,0.471718145,0.337928112,0.356044931,0.350937343,0.511111111,0.414634146,0.432057482,0.458693131,0.629698463,1.0,0.198769704,0.721209069,0.358539078,0.349930517,0.365993129,0.319328495,0.123926268,0.137719534,0.0,0.0,0.734697645,0.800428393,0.819535432,0.731999734,0.888646463,0.54687973,1.0,5.0
7,0.919219377,0.615326466,0.755663248,1.0,0.307478236,0.078509617,0.426004738,0.500591191,0.351597886,0.044444444,0.390243902,0.461075031,0.199867643,0.118013204,0.491704216,0.091695502,0.265620772,0.769471168,0.307403488,0.461914005,0.10772151,0.0,0.270107406,0.055767558,0.170461443,1.0,1.0,1.0,1.0,1.0,0.279172162,1.0,5.0
8,0.0,1.0,0.0,0.552320291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010793252,0.0,1.0,0.167675543,1.0,1.0,0.245193592,0.234621633,0.0,0.468003272,0.161170505,0.239800672,0.649937253,0.375108073,0.240422144,0.47443188,0.914110806,1.0,5.0
9,0.687948625,0.0,0.980918852,0.0,0.265193621,0.297291979,0.0,0.0,0.27535229,0.266666667,0.0,0.0,0.378618002,0.763554553,0.087882916,1.0,0.8499564,0.0,0.265196443,0.0,1.0,1.0,0.848627707,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.332327147,0.0,5.0
