,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0,0,0.072027156,0.038816456,0.141894627,1,0,0,0.04439946,1,0,0,0,0.870270282,0.657679052,1,0.502489098,0.143952348,0.143276789,0,1,0.746397248,0.400567788,0.167681588,0.203757151,0.47377981,0.17175847,0.336635967,0.474162004,0.263160387,0,1,6
1,0.066225008,0.034633879,0.124199744,0.026709818,0.164144815,0.914001158,0.057904621,0.048804875,0.09577148,0.905172414,0.04950495,0.042546917,0.181528709,0.742014764,1,0.292982729,1,0,0.163894215,0.049721376,0.884577786,0.970089231,0.175658848,0.732932855,0.287055719,0.068395394,0.003280964,0.062059357,0.068163521,0.059370218,0.732060571,1,6
2,0.067998298,0.039463911,0.072027156,0.026709818,0.459647241,0.914477012,0.063541074,0.05259391,0.25677013,0.896551724,0.04950495,0.043219865,0.604782356,1,0.817354573,0.199470982,0.7740196,0.057569,0.461953826,0.053481475,0.990571259,0.963809301,0,1,0.056223944,0,0,0,0,0,0.770570574,1,6
3,0.074437218,0.054502881,0.041014799,0.095177894,0.335583396,0.906167814,0.085892975,0.068876235,0.193162393,0.896551724,0.118811881,0.093842152,0.81640918,1,0.745376597,0.035319745,0.611261117,0.120601861,0.33709396,0.080703567,0.88053257,0.937920093,0.120895028,0.948669362,0.26437092,0.038482748,0.009169033,0.030546333,0.038335411,0.026958806,0.608499438,1,6
4,0.057127937,0.042620009,0.041014799,0,0,0.927913214,0.065850486,0.05255181,0,0.913793103,0.108910891,0.085108957,0.4032989,0.652888207,0.698596167,0.096934806,0.498616734,0.174392102,0,0.06948311,0.779066213,0.796574295,0.134129116,0.902043726,0.26437092,0.052242711,0.106568238,0.051008612,0.05232475,0.050472091,0.830116378,1,6
5,0.054457471,0.069875224,0.061665607,0.079204918,0.180507933,0.930271209,0.132605951,0.097651851,0.097076023,0.931034483,0.089108911,0.069260665,0.261292184,0.689984084,0.547810188,0.206472693,0.311002438,0.311261667,0.181880028,0.139191856,0.71051233,0.627359906,0.331539698,0.051424246,0,0.604730039,0.254378194,0.439266227,0.605947221,0.351184265,0.029552597,1,6
6,0.114664655,0.086447549,0.061665607,0.035775955,0.351728337,0.85603341,0.131957457,0.107019187,0.226990553,0.862068966,0.108910891,0.089660804,1,0.953222442,0.923230498,0.229500545,0.80290017,0.048933974,0.352773829,0.127997563,0.789464264,0.766886538,0.058597247,0.717975267,0.029227411,0.060963053,0.1321219,0.044507576,0.06115728,0.03651652,0.437015266,1,6
7,0.326079858,0.629978151,0,0.662368986,0.586902108,0.617129774,0.925071358,0.721684858,0.492307692,0.672413793,0.643564356,0.518555204,0.158014641,0.619164646,0.052349529,0.029562782,0.48902765,0.172413678,0.586415768,0.914691868,0.114469427,0,0.692525345,0,0.122230855,1,1,1,1,1,1,0,6
8,1,1,1,1,0.084834909,0,1,1,0.582051282,0,1,1,0.01114205,0,0,0,0,1,0.083013646,1,0,1,1,0.373526506,1,0.334954533,0.104370073,0.337526644,0.335215654,0.33855207,0.989647328,0,6
9,0.702320736,0.702327279,0.051328183,0.626149918,1,0.250197401,0.832030553,0.765237709,1,0.218390805,0.742574257,0.702768914,0.870672521,0.563409587,0.121553463,0.049634355,0.01372716,0.93674033,1,0.81141319,0.237480896,0.523279642,0.75746944,0.166274069,0.289439938,0.536170389,0.401222249,0.520020951,0.53634767,0.513136004,0.888190143,0,6
