,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label,ID
0,0,0.743295017,0,0.310120863,1,1,0.938771181,0.836671953,1,1,0.846153846,0.71846026,1,1,0.705102383,0.512987013,1,0,1,0.920803263,0.624828295,0.670043843,0.59508985,0.162835736,0,0.288445776,0.130331635,0.229640171,0.285179196,0.1941668,0.017227335,1,12
1,0.413566022,1,0.279394977,1,0.607583561,0.561285729,1,1,0.673863566,0.620111732,1,0.939808598,0.771458971,0.507079009,0.097515945,0.038961039,0.448878396,0.308761873,0.606956091,1,0.20842971,0.461000863,0.844192395,0.162835736,0,0.441672007,0.273353097,0.360069901,0.437670671,0.309715196,0,1,12
2,0.859816184,0.987291045,0.527180551,1,0.187002266,0.127466519,0.787715472,0.876198609,0.283262595,0.184357542,0.961538462,1,0.517574541,0.265447229,0.050016784,0,0.141408684,0.6895323,0.186816451,0.809663297,0,0.247632845,1,0.210957457,1,0.524499424,0.485010713,0.504083032,0.521670012,0.494031698,0.380244246,1,12
3,0.909589616,0.683151653,1,0.937951879,0.137807875,0.083639626,0.521987006,0.593705014,0.233683952,0.05027933,0.711538462,0.776307096,0.44092523,0.355858552,0,0.08008658,0,1,0.13778676,0.536070265,0.214074921,0.075007411,0.605237465,0.109677829,1,0.687376724,0.799519649,0.685618755,0.68309481,0.687198785,0.468473177,1,12
4,0.611440771,0.788649303,0.763495185,0.291450485,0.14982132,0.123733878,0.42515963,0.478906917,0.238912468,0.027932961,0.711538462,0.78106017,0.558968808,0.396694247,0.245552199,0.478354978,0.329938795,0.422154555,0.150248656,0.436153098,0.343019701,0,0.601585493,0,0.048176862,1,1,1,1,1,0.446749166,1,12
5,0.315654313,0.149155408,0.883720129,0.876474752,0.046793146,0.662129548,0.202000849,0.144760278,0,0.687150838,0.153846154,0.117931667,0.319558118,0.503786999,0.227760994,0.396103896,0.24438458,0.527672866,0.046955859,0.216144049,0.518588431,1,0,1,0.09838639,0,0,0,0,0,0.824786455,0,12
6,0.301537132,0.060407263,0.883720129,0.876474752,0.117976286,0.676821102,0.128851461,0.066390143,0.079042874,0.681564246,0.057692308,0.026855937,0.321598486,0.561222662,0.823766365,1,0.666042525,0.1524139,0.118143236,0.135356544,0.7442994,0.966844172,0.157635193,0.77884047,0.088709425,0.015446895,0.01038451,0.022878592,0.015281829,0.026587048,1,0,12
7,0.576245366,0,0.914383562,0,0.08988445,0.400073933,0.027026353,0,0.104754875,0.441340782,0,0,0.206228572,0.632468023,0.787512588,0.800865801,0.478681755,0.283493121,0.089970108,0.030298455,0.902028554,0.878057259,0.3862924,0.608436129,0.027893662,0.04724543,0.03850316,0.058565245,0.046648013,0.064579399,0.952527184,0,12
8,0.860857294,0.034307775,0.604272858,0,0.113806074,0.128019277,0,0.011321215,0.194070247,0.111731844,0.153846154,0.197327195,0.004244722,0.306244048,1,0.69047619,0.527927235,0.247059945,0.113822041,0,1,0.811826889,0.567147226,0.543807771,0.027893662,0.102826727,0.063834903,0.101483713,0.101598012,0.101659539,0.588132377,0,12
9,1,0.103132343,0.604272858,0.40430132,0,0,0.028284713,0.062486275,0.083717783,0,0.057692308,0.115118187,0,0,0.896106076,0.491341991,0.294488562,0.46881317,0,0.037031177,0.757778782,0.74197884,0.72362653,0.349740992,0.085752617,0.194341161,0.095922915,0.167879345,0.191845307,0.153932724,0.257081502,0,12
